timestamp,open,high,low,close,volume,market_cap
2025-10-26,1.599,1.656,1.581,1.636,645456.76,59092.35
2025-10-27,1.638,1.657,1.572,1.574,1276757.15,111128.84
2025-10-28,1.574,1.625,1.506,1.53,1783643.77,607839.57
2025-10-29,1.53,1.586,1.505,1.522,1278990.26,216948.89
2025-10-30,1.523,1.535,1.348,1.405,2385968.55,612059.74
2025-10-31,1.404,1.462,1.4,1.416,1145409.22,226594.52
2025-11-01,1.417,1.459,1.399,1.452,1322758.07,108804.75
2025-11-02,1.452,1.489,1.413,1.468,1099527.19,81394.51
2025-11-03,1.469,1.469,1.212,1.255,3121392.18,354395.69
2025-11-04,1.255,1.285,1.109,1.186,4563242.6,566216.23
2025-11-05,1.186,1.241,1.122,1.219,1647167.75,281898.37
2025-11-06,1.22,1.241,1.137,1.233,2601038.05,489783.52
2025-11-07,1.233,1.53,1.233,1.505,6149997.2,1369413.48
2025-11-08,1.504,1.561,1.397,1.48,5693843.27,594463.31
2025-11-09,1.48,1.481,1.36,1.441,2047874.86,496836.11
2025-11-10,1.44,1.49,1.408,1.471,1382487.33,240107.77
2025-11-11,1.472,1.495,1.349,1.355,1747506.08,264681.18
2025-11-12,1.356,1.428,1.291,1.319,1453924.95,169008.25
2025-11-13,1.319,1.417,1.228,1.277,1890737.84,230898.37
2025-11-14,1.279,1.294,1.211,1.251,1237947.71,156691.82
2025-11-15,1.252,1.303,1.242,1.28,952930.42,87040.16
2025-11-16,1.281,1.308,1.193,1.237,1148665.44,118161.26
2025-11-17,1.235,1.294,1.177,1.213,1410167.18,187301.9
2025-11-18,1.213,1.337,1.192,1.306,3443559.34,428148.68
2025-11-19,1.306,1.354,1.175,1.23,2219406.72,452899.74
2025-11-20,1.23,1.386,1.18,1.204,3923810.12,683952.32
2025-11-21,1.203,1.254,1.079,1.117,4529897.77,795662.65
2025-11-22,1.116,1.117,1.066,1.101,1274066.06,223710.4
2025-11-23,1.101,1.127,1.092,1.097,1051305.48,173224.52
2025-11-24,1.096,1.167,1.079,1.148,1333629.52,379732.6
2025-11-25,1.147,1.161,1.089,1.152,1216954.95,123243.8
2025-11-26,1.152,1.172,1.099,1.158,1450045.52,135140.11
2025-11-27,1.158,1.182,1.146,1.162,879044.89,85552.19
2025-11-28,1.161,1.171,1.122,1.137,2492423.67,77426.46
2025-11-29,1.135,1.148,1.102,1.107,654718.34,51722.22
2025-11-30,1.108,1.12,1.083,1.085,615322.83,41885.18
2025-12-01,1.085,1.087,0.984,1.013,2338985.41,128861.81
2025-12-02,1.013,1.118,0.997,1.092,1418845.18,174418.43
2025-12-03,1.092,1.159,1.089,1.146,2135652.75,154879.76
2025-12-04,1.146,1.154,1.065,1.081,1376470.68,70799.21
2025-12-05,1.08,1.092,1.004,1.028,1344786.76,119671.22
2025-12-06,1.029,1.093,1.02,1.07,2062115.98,169483.17
2025-12-07,1.069,1.083,1.002,1.019,1383187.37,119327.41
2025-12-08,1.019,1.068,1.014,1.044,1100634.89,80546.84
2025-12-09,1.045,1.137,1.018,1.121,3023024.8,156203.9
2025-12-10,1.121,1.135,1.069,1.088,1514800.46,115442.75
2025-12-11,1.087,1.088,1.014,1.051,1712699.47,86082.39
2025-12-12,1.052,1.057,0.977,1.011,1318650.13,135965.16
2025-12-13,1.011,1.021,0.995,1.008,711473.83,23001.09
2025-12-14,1.009,1.015,0.947,0.962,1123119.54,65639.16
2025-12-15,0.963,0.994,0.898,0.926,1203859.99,124740.63
2025-12-16,0.926,0.935,0.89,0.923,1139841.62,84090.34
2025-12-17,0.923,0.942,0.759,0.87,2151919.19,251646.46
2025-12-18,0.87,0.88,0.792,0.809,2849157.97,177046.57
2025-12-19,0.808,0.886,0.789,0.875,1627686.54,187101.86
2025-12-20,0.876,0.885,0.868,0.877,738831.61,53913.37
2025-12-21,0.877,0.879,0.829,0.852,922199.96,71050.89
2025-12-22,0.853,0.874,0.834,0.847,1283505.58,102820.66
2025-12-23,0.847,0.878,0.81,0.857,2829868.04,163645.83
2025-12-24,0.857,0.859,0.823,0.842,1586304.07,100097.11
2025-12-25,0.841,0.862,0.819,0.826,1098210.33,98372.03
2025-12-26,0.825,0.861,0.821,0.83,1059990.36,81835.05
2025-12-27,0.831,0.875,0.83,0.873,1041448.37,359810.87
2025-12-28,0.872,0.917,0.846,0.857,1687098.07,172217.98
2025-12-29,0.857,0.878,0.82,0.829,1520973.02,102192.5
2025-12-30,0.829,0.847,0.819,0.83,1043142.87,97859.69
2025-12-31,0.83,0.833,0.788,0.805,1641165.34,180276.68
2026-01-01,0.805,0.876,0.793,0.871,1028888.07,101261.73
2026-01-02,0.871,0.926,0.866,0.917,2084076.88,159495.85
2026-01-03,0.916,0.934,0.89,0.915,1229151.9,98572.37
2026-01-04,0.916,0.982,0.914,0.965,1421022.49,120306.82
2026-01-05,0.963,0.993,0.936,0.985,1622374.83,105640.18
2026-01-06,0.985,1.018,0.945,1.0,2695299.44,168877.67
2026-01-07,0.998,0.998,0.938,0.953,1906205.47,86676.83
2026-01-08,0.954,0.964,0.909,0.952,1930045.91,85334.65
2026-01-09,0.952,0.978,0.936,0.948,792993.29,55436.24
2026-01-10,0.949,0.979,0.935,0.956,479345.26,50672.03
2026-01-11,0.957,0.975,0.945,0.956,900212.5,220612.22
2026-01-12,0.957,0.989,0.901,0.906,1326480.03,117367.43
2026-01-13,0.906,1.133,0.904,1.055,2811317.3166666664,979489.7
2026-01-14,1.055,1.387,1.052,1.224,4296154.603333333,4815188.93
2026-01-15,1.225,1.233,1.055,1.086,5780991.89,931695.26
2026-01-16,1.085,1.335,1.067,1.324,5804276.955999999,2556413.14
2026-01-17,1.322,2.26,1.292,1.979,5827562.022,17673853.98
2026-01-18,1.978,2.207,1.793,1.887,5850847.0879999995,15530656.18
2026-01-19,1.887,1.997,1.639,1.651,5874132.154,5421189.48
2026-01-20,1.651,2.4,1.651,2.104,5897417.22,13217626.69
2026-01-21,2.104,2.55,2.038,2.37,5920702.285999999,16255765.74
2026-01-22,2.369,2.744,2.356,2.678,5943987.352,11248871.25
2026-01-23,2.678,2.988,2.496,2.936,5967272.418,14373527.57
2026-01-24,2.935,2.8155,2.527,2.634,5990557.484,10624129.27
2026-01-25,2.633,2.643,1.987,2.049,6013842.55,8924001.86
2026-01-26,2.049,2.569,1.883,2.497,6037127.615999999,11420558.46
2026-01-27,2.497,2.761,2.343,2.641,6060412.682,8971283.61
2026-01-28,2.641,2.692,2.263,2.285,6083697.748,4851836.66
2026-01-29,2.284,2.415,2.064,2.279,6106982.814,4303043.77
2026-01-30,2.277,2.294,2.062,2.083,6130267.88,3126121.48
2026-01-31,2.081,2.081,1.75,1.818,9950551.27,4416506.74
2026-02-01,1.818,1.912,1.646,1.731,5385668.265,3481252.19
2026-02-02,1.731,1.762,1.668,1.725,820785.26,4066284.56
